Date,Time (sec.),# Solutions
2025-09-15,858.9300091,2764800
2025-10-28,194.4947026,166724
2025-10-14,21.6684393,1
2025-09-05,3.8015112,1
2025-09-27,0.8087281,1
2025-10-18,0.7699766,10464
2025-10-24,0.3285904,1
2025-09-07,0.302515,1
2025-10-25,0.2259304,1
2025-09-09,0.1789209,1
2025-09-25,0.1252878,1
2025-09-24,0.0977794,1
2025-10-21,0.0964875,1
2025-11-01,0.080068,1
2025-10-20,0.075613,1920
2025-09-13,0.0678147,1
2025-09-20,0.0577003,3
2025-09-06,0.0478536,1
2025-09-17,0.0465032,48
2025-09-22,0.0423152,1
2025-10-10,0.0377131,1
2025-08-18,0.0363222,2
2025-09-26,0.0338815,1
2025-10-30,0.03141,96
2025-08-23,0.030141,80
2025-09-04,0.0256253,86
2025-10-17,0.0250303,1
2025-10-23,0.0222098,1
2025-10-29,0.01914,134
2025-10-08,0.0188726,1
2025-11-06,0.0172007,1
2025-10-22,0.0155657,5
2025-09-30,0.0133856,110
2025-09-29,0.0129322,1
2025-10-19,0.0118054,1
2025-10-31,0.0117848,32
2025-09-16,0.0113331,4
2025-10-05,0.0113236,344
2025-08-28,0.0113136,32
2025-10-03,0.0107676,1
2025-09-11,0.010122,1
2025-08-29,0.0093839,1
2025-10-09,0.008489,1
2025-11-04,0.0075042,1
2025-10-15,0.00672,1
2025-08-24,0.0065507,2
2025-08-31,0.0065241,3
2025-09-21,0.0062322,1
2025-09-14,0.0049905,1
2025-09-12,0.0048745,1
2025-10-27,0.0042368,16
2025-10-16,0.0034391,4
2025-10-04,0.0032914,2
2025-08-19,0.0030993,4
2025-08-26,0.0026728,2
2025-09-08,0.0025527,1
2025-09-19,0.0021787,3
2025-10-01,0.0021131,2
2025-11-02,0.0017593,1
2025-10-02,0.0015666,1
2025-09-10,0.0015527,1
2025-11-03,0.0014657,1
2025-08-21,0.0014236,2
2025-09-23,0.0013775,4
2025-10-07,0.0012909,4
2025-09-01,0.0012738,12
2025-11-05,0.0011872,2
2025-09-28,0.0011497,2
2025-10-12,0.0010534,1
2025-09-18,0.000908,1
2025-08-25,0.0008411,1
2025-10-13,0.0007996,1
2025-10-26,0.000678,1
2025-09-03,0.0005618,1
2025-08-30,0.0004986,1
2025-08-20,0.0004002,1
2025-09-02,0.0003542,4
2025-08-22,0.0002951,1
2025-10-11,0.0001744,1
2025-10-06,0.0001698,1
2025-08-27,0.0001545,1
